"","var","p_val","v_stat","test","n_group","metoda"
"2","objawy",1,40.5,"0-2",9,"metoda_1"
"3","objawy",1,40.5,"0-90",9,"metoda_1"
"4","objawy",1,40.5,"2-90",9,"metoda_1"
"5","objawy",1,220.5,"0-2",21,"metoda_2"
"6","objawy",1,220.5,"0-90",21,"metoda_2"
"7","objawy",1,220.5,"2-90",21,"metoda_2"
"8","RodCzK",0.25,27,"0-2",9,"metoda_1"
"9","RodCzK",0.215,26,"0-90",9,"metoda_1"
"10","RodCzK",0.723,36,"2-90",9,"metoda_1"
"11","RodCzK",0.88,214,"0-2",21,"metoda_2"
"12","RodCzK",0.725,206,"0-90",21,"metoda_2"
"13","RodCzK",0.94,217,"2-90",21,"metoda_2"
"14","RodA",0.595,47,"0-2",9,"metoda_1"
"15","RodA",1,41,"0-90",9,"metoda_1"
"16","RodA",0.479,32,"2-90",9,"metoda_1"
"17","RodA",0.94,217,"0-2",21,"metoda_2"
"18","RodA",0.669,238,"0-90",21,"metoda_2"
"19","RodA",0.059,296,"2-90",21,"metoda_2"
"20","MRodCzK",0.027,15,"0-2",9,"metoda_1"
"21","MRodCzK",0.479,32,"0-90",9,"metoda_1"
"22","MRodCzK",0.01,70,"2-90",9,"metoda_1"
"23","MRodCzK",0.705,205,"0-2",21,"metoda_2"
"24","MRodCzK",0.206,170,"0-90",21,"metoda_2"
"25","MRodCzK",0.849,212.5,"2-90",21,"metoda_2"
"26","MRodA",0.331,29,"0-2",9,"metoda_1"
"27","MRodA",1,40,"0-90",9,"metoda_1"
"28","MRodA",0.724,45,"2-90",9,"metoda_1"
"29","MRodA",0.84,212,"0-2",21,"metoda_2"
"30","MRodA",0.517,247,"0-90",21,"metoda_2"
"31","MRodA",0.015,318,"2-90",21,"metoda_2"
"32","ConeCzK",0.128,23,"0-2",9,"metoda_1"
"33","ConeCzK",0.964,39.5,"0-90",9,"metoda_1"
"34","ConeCzK",0.104,59,"2-90",9,"metoda_1"
"35","ConeCzK",0.048,298.5,"0-2",21,"metoda_2"
"36","ConeCzK",0.022,311,"0-90",21,"metoda_2"
"37","ConeCzK",0.826,229.5,"2-90",21,"metoda_2"
"38","ConeAa",0.184,56,"0-2",9,"metoda_1"
"39","ConeAa",0.112,59,"0-90",9,"metoda_1"
"40","ConeAa",0.596,34,"2-90",9,"metoda_1"
"41","ConeAa",0.9,226,"0-2",21,"metoda_2"
"42","ConeAa",0.174,275,"0-90",21,"metoda_2"
"43","ConeAa",0.019,314,"2-90",21,"metoda_2"
"44","ConeAb",0.111,59,"0-2",9,"metoda_1"
"45","ConeAb",0.052,63,"0-90",9,"metoda_1"
"46","ConeAb",0.596,34,"2-90",9,"metoda_1"
"47","ConeAb",0.513,194,"0-2",21,"metoda_2"
"48","ConeAb",0.651,239,"0-90",21,"metoda_2"
"49","ConeAb",0.227,269,"2-90",21,"metoda_2"
"50","FlCzK",0.447,31.5,"0-2",9,"metoda_1"
"51","FlCzK",0.421,31,"0-90",9,"metoda_1"
"52","FlCzK",0.926,39,"2-90",9,"metoda_1"
"53","FlCzK",0.878,214,"0-2",21,"metoda_2"
"54","FlCzK",0.28,177.5,"0-90",21,"metoda_2"
"55","FlCzK",0.209,171,"2-90",21,"metoda_2"
"56","FlA",1,40.5,"0-2",9,"metoda_1"
"57","FlA",0.666,35,"0-90",9,"metoda_1"
"58","FlA",0.014,13,"2-90",9,"metoda_1"
"59","FlA",0.247,267,"0-2",21,"metoda_2"
"60","FlA",0.074,292,"0-90",21,"metoda_2"
"61","FlA",0.222,269.5,"2-90",21,"metoda_2"
"62","OsPA",0.005,8,"0-2",9,"metoda_1"
"63","OsPA",0.021,14,"0-90",9,"metoda_1"
"64","OsPA",0.005,73,"2-90",9,"metoda_1"
"65","OsPA",0.669,203,"0-2",21,"metoda_2"
"66","OsPA",0.031,134,"0-90",21,"metoda_2"
"67","OsPA",0.98,222,"2-90",21,"metoda_2"
"68","MDSAP",0.894,42.5,"0-2",9,"metoda_1"
"69","MDSAP",0.216,55,"0-90",9,"metoda_1"
"70","MDSAP",0.215,55,"2-90",9,"metoda_1"
"71","MDSAP",0.97,218.5,"0-2",21,"metoda_2"
"72","MDSAP",1,220.5,"0-90",21,"metoda_2"
"73","MDSAP",0.87,213.5,"2-90",21,"metoda_2"
"74","PSDSAP",0.425,50,"0-2",9,"metoda_1"
"75","PSDSAP",0.084,20.5,"0-90",9,"metoda_1"
"76","PSDSAP",0.062,19,"2-90",9,"metoda_1"
"77","PSDSAP",0.762,233,"0-2",21,"metoda_2"
"78","PSDSAP",0.734,234.5,"0-90",21,"metoda_2"
"79","PSDSAP",0.715,235.5,"2-90",21,"metoda_2"
"80","MDFDF",0.013,69,"0-2",9,"metoda_1"
"81","MDFDF",0.377,30,"0-90",9,"metoda_1"
"82","MDFDF",0,4,"2-90",9,"metoda_1"
"83","MDFDF",0,411,"0-2",21,"metoda_2"
"84","MDFDF",0.002,97,"0-90",21,"metoda_2"
"85","MDFDF",0,45.5,"2-90",21,"metoda_2"
"86","PSDFDF",0.012,11.5,"0-2",9,"metoda_1"
"87","PSDFDF",0.077,61,"0-90",9,"metoda_1"
"88","PSDFDF",0.005,73,"2-90",9,"metoda_1"
"89","PSDFDF",0,18,"0-2",21,"metoda_2"
"90","PSDFDF",0,421,"0-90",21,"metoda_2"
"91","PSDFDF",0,432,"2-90",21,"metoda_2"
"92","RB",0,81,"0-2",9,"metoda_1"
"93","RB",0,0.5,"0-90",9,"metoda_1"
"94","RB",0,0,"2-90",9,"metoda_1"
"95","RB",0.434,252,"0-2",21,"metoda_2"
"96","RB",0,1,"0-90",21,"metoda_2"
"97","RB",0,15.5,"2-90",21,"metoda_2"
